1,H,Hydrogen,1.00784000,1.00811000
2,He,Helium,4.00260200,4.00260200
3,Li,Lithium,6.93800000,6.99700000
4,Be,Beryllium,9.01218310,9.01218310
5,B,Boron,10.80600000,10.82100000
6,C,Carbon,12.00960000,12.01160000
7,N,Nitrogen,14.00643000,14.00728000
8,O,Oxygen,15.99903000,15.99977000
9,F,Fluorine,18.99840316,18.99840316
10,Ne,Neon,20.17970000,20.17970000
11,Na,Sodium,22.98976928,22.98976928
12,Mg,Magnesium,24.30400000,24.30700000
13,Al,Aluminum,26.98153850,26.98153850
14,Si,Silicon,28.08400000,28.08600000
15,P,Phosphorus,30.97376200,30.97376200
16,S,Sulfur,32.05900000,32.07600000
17,Cl,Chlorine,35.44600000,35.45700000
18,Ar,Argon,39.94800000,39.94800000
19,K,Potassium,39.09830000,39.09830000
20,Ca,Calcium,40.07800000,40.07800000
21,Sc,Scandium,44.95590800,44.95590800
22,Ti,Titanium,47.86700000,47.86700000
23,V,Vanadium,50.94150000,50.94150000
24,Cr,Chromium,51.99610000,51.99610000
25,Mn,Manganese,54.93804400,54.93804400
26,Fe,Iron,55.84500000,55.84500000
27,Co,Cobalt,58.93319400,58.93319400
28,Ni,Nickel,58.69340000,58.69340000
29,Cu,Copper,63.54600000,63.54600000
30,Zn,Zinc,65.38000000,65.38000000
31,Ga,Gallium,69.72300000,69.72300000
32,Ge,Germanium,72.63000000,72.63000000
33,As,Arsenic,74.92159500,74.92159500
34,Se,Selenium,78.97100000,78.97100000
35,Br,Bromine,79.90100000,79.90700000
36,Kr,Krypton,83.79800000,83.79800000
37,Rb,Rubidium,85.46780000,85.46780000
38,Sr,Strontium,87.62000000,87.62000000
39,Y,Yttrium,88.90594000,88.90594000
40,Zr,Zirconium,91.22400000,91.22400000
41,Nb,Niobium,92.90637000,92.90637000
42,Mo,Molybdenum,95.95000000,95.95000000
43,Tc,Technetium,97.00000000,97.00000000
44,Ru,Ruthenium,101.07000000,101.07000000
45,Rh,Rhodium,102.90550000,102.90550000
46,Pd,Palladium,106.42000000,106.42000000
47,Ag,Silver,107.86820000,107.86820000
48,Cd,Cadmium,112.41400000,112.41400000
49,In,Indium,114.81800000,114.81800000
50,Sn,Tin,118.71000000,118.71000000
51,Sb,Antimony,121.76000000,121.76000000
52,Te,Tellurium,127.60000000,127.60000000
53,I,Iodine,126.90447000,126.90447000
54,Xe,Xenon,131.29300000,131.29300000
55,Cs,Cesium,132.90545200,132.90545200
56,Ba,Barium,137.32700000,137.32700000
57,La,Lanthanum,138.90547000,138.90547000
58,Ce,Cerium,140.11600000,140.11600000
59,Pr,Praseodymium,140.90766000,140.90766000
60,Nd,Neodymium,144.24200000,144.24200000
61,Pm,Promethium,145.00000000,145.00000000
62,Sm,Samarium,150.36000000,150.36000000
63,Eu,Europium,151.96400000,151.96400000
64,Gd,Gadolinium,157.25000000,157.25000000
65,Tb,Terbium,158.92535000,158.92535000
66,Dy,Dysprosium,162.50000000,162.50000000
67,Ho,Holmium,164.93033000,164.93033000
68,Er,Erbium,167.25900000,167.25900000
69,Tm,Thulium,168.93422000,168.93422000
70,Yb,Ytterbium,173.04500000,173.04500000
71,Lu,Lutetium,174.96680000,174.96680000
72,Hf,Hafnium,178.49000000,178.49000000
73,Ta,Tantalum,180.94788000,180.94788000
74,W,Tungsten,183.84000000,183.84000000
75,Re,Rhenium,186.20700000,186.20700000
76,Os,Osmium,190.23000000,190.23000000
77,Ir,Iridium,192.21700000,192.21700000
78,Pt,Platinum,195.08400000,195.08400000
79,Au,Gold,196.96656900,196.96656900
80,Hg,Mercury,200.59200000,200.59200000
81,Tl,Thallium,204.38200000,204.38500000
82,Pb,Lead,207.20000000,207.20000000
83,Bi,Bismuth,208.98040000,208.98040000
84,Po,Polonium,209.00000000,209.00000000
85,At,Astatine,210.00000000,210.00000000
86,Rn,Radon,222.00000000,222.00000000
87,Fr,Francium,223.00000000,223.00000000
88,Ra,Radium,226.00000000,226.00000000
89,Ac,Actinium,227.00000000,227.00000000
90,Th,Thorium,232.03770000,232.03770000
91,Pa,Protactinium,231.03588000,231.03588000
92,U,Uranium,238.02891000,238.02891000
93,Np,Neptunium,237.00000000,237.00000000
94,Pu,Plutonium,244.00000000,244.00000000
95,Am,Americium,243.00000000,243.00000000
96,Cm,Curium,247.00000000,247.00000000
97,Bk,Berkelium,247.00000000,247.00000000
98,Cf,Californium,251.00000000,251.00000000
99,Es,Einsteinium,252.00000000,252.00000000
100,Fm,Fermium,257.00000000,257.00000000
101,Md,Mendelevium,258.00000000,258.00000000
102,No,Nobelium,259.00000000,259.00000000
103,Lr,Lawrencium,262.00000000,262.00000000
104,Rf,Rutherfordium,263.00000000,263.00000000
105,Db,Dubnium,268.00000000,268.00000000
106,Sg,Seaborgium,271.00000000,271.00000000
107,Bh,Bohrium,270.00000000,270.00000000
108,Hs,Hassium,270.00000000,270.00000000
109,Mt,Meitnerium,278.00000000,278.00000000
110,Ds,Darmstadtium,281.00000000,281.00000000
111,Rg,Roentgenium,281.00000000,281.00000000
112,Uub,Ununbiium,285.00000000,285.00000000
113,Nh,Nihonium,286.00000000,286.00000000
114,Uuq,Ununquadium,289.00000000,289.00000000
115,Fl,Flerovium,289.00000000,289.00000000
116,Mc,Moscovium,293.00000000,293.00000000
117,Lv,Livermorium,294.00000000,294.00000000
118,Og,Ognesson,294.00000000,294.00000000